"As Of Date","Time Series","Value (millions)"
"2022-07-13","PDPOSTIPS-G2","5961"
"2022-07-13","PDPOSTIPS-G6L11","1165"
"2022-07-13","PDPOSTIPS-L2","7675"
"2022-07-20","PDPOSTIPS-G11","32"
"2022-07-20","PDPOSTIPS-G2","5606"
"2022-07-20","PDPOSTIPS-G6L11","1340"
"2022-07-20","PDPOSTIPS-L2","4879"
"2022-07-27","PDPOSTIPS-G11","-132"
"2022-07-27","PDPOSTIPS-G2","5775"
"2022-07-27","PDPOSTIPS-G6L11","3499"
"2022-07-27","PDPOSTIPS-L2","4876"
"2022-08-03","PDPOSTIPS-G11","-547"
"2022-08-03","PDPOSTIPS-G2","4039"
"2022-08-03","PDPOSTIPS-G6L11","1154"
"2022-08-03","PDPOSTIPS-L2","10858"
"2022-08-10","PDPOSTIPS-G11","-603"
"2022-08-10","PDPOSTIPS-G2","3188"
"2022-08-10","PDPOSTIPS-G6L11","502"
"2022-08-10","PDPOSTIPS-L2","9618"
"2022-08-17","PDPOSTIPS-G11","-558"
"2022-08-17","PDPOSTIPS-G2","3206"
"2022-08-17","PDPOSTIPS-G6L11","441"
"2022-08-17","PDPOSTIPS-L2","9809"
"2022-08-24","PDPOSTIPS-G11","-647"
"2022-08-24","PDPOSTIPS-G2","3341"
"2022-08-24","PDPOSTIPS-G6L11","926"
"2022-08-24","PDPOSTIPS-L2","8578"
"2022-08-31","PDPOSTIPS-G11","-1073"
"2022-08-31","PDPOSTIPS-G2","3257"
"2022-08-31","PDPOSTIPS-G6L11","3287"
"2022-08-31","PDPOSTIPS-L2","9298"
"2022-09-07","PDPOSTIPS-G11","-1241"
"2022-09-07","PDPOSTIPS-G2","3556"
"2022-09-07","PDPOSTIPS-G6L11","3873"
"2022-09-07","PDPOSTIPS-L2","8638"
"2022-09-14","PDPOSTIPS-G11","-963"
"2022-09-14","PDPOSTIPS-G2","2375"
"2022-09-14","PDPOSTIPS-G6L11","4288"
"2022-09-14","PDPOSTIPS-L2","6959"
"2022-09-21","PDPOSTIPS-G11","-987"
"2022-09-21","PDPOSTIPS-G2","2078"
"2022-09-21","PDPOSTIPS-G6L11","4677"
"2022-09-21","PDPOSTIPS-L2","8121"
"2022-09-28","PDPOSTIPS-G11","-454"
"2022-09-28","PDPOSTIPS-G2","2688"
"2022-09-28","PDPOSTIPS-G6L11","4016"
"2022-09-28","PDPOSTIPS-L2","9841"
"2022-10-05","PDPOSTIPS-G11","-27"
"2022-10-05","PDPOSTIPS-G2","4305"
"2022-10-05","PDPOSTIPS-G6L11","2807"
"2022-10-05","PDPOSTIPS-L2","10164"
"2022-10-12","PDPOSTIPS-G11","-773"
"2022-10-12","PDPOSTIPS-G2","5953"
"2022-10-12","PDPOSTIPS-G6L11","3278"
"2022-10-12","PDPOSTIPS-L2","9457"
"2022-10-19","PDPOSTIPS-G11","-1524"
"2022-10-19","PDPOSTIPS-G2","5935"
"2022-10-19","PDPOSTIPS-G6L11","5009"
"2022-10-19","PDPOSTIPS-L2","11019"
"2022-10-26","PDPOSTIPS-G11","-1281"
"2022-10-26","PDPOSTIPS-G2","6115"
"2022-10-26","PDPOSTIPS-G6L11","5082"
"2022-10-26","PDPOSTIPS-L2","11616"
"2022-11-02","PDPOSTIPS-G11","-1303"
"2022-11-02","PDPOSTIPS-G2","5196"
"2022-11-02","PDPOSTIPS-G6L11","4245"
"2022-11-02","PDPOSTIPS-L2","14092"
"2022-11-09","PDPOSTIPS-G11","-1411"
"2022-11-09","PDPOSTIPS-G2","5074"
"2022-11-09","PDPOSTIPS-G6L11","4707"
"2022-11-09","PDPOSTIPS-L2","13846"
"2022-11-16","PDPOSTIPS-G11","-1112"
"2022-11-16","PDPOSTIPS-G2","5340"
"2022-11-16","PDPOSTIPS-G6L11","4073"
"2022-11-16","PDPOSTIPS-L2","12077"
"2022-11-23","PDPOSTIPS-G11","-1250"
"2022-11-23","PDPOSTIPS-G2","4588"
"2022-11-23","PDPOSTIPS-G6L11","5306"
"2022-11-23","PDPOSTIPS-L2","11040"
"2022-11-30","PDPOSTIPS-G11","-1541"
"2022-11-30","PDPOSTIPS-G2","4743"
"2022-11-30","PDPOSTIPS-G6L11","4749"
"2022-11-30","PDPOSTIPS-L2","11794"
"2022-12-07","PDPOSTIPS-G11","-1506"
"2022-12-07","PDPOSTIPS-G2","7126"
"2022-12-07","PDPOSTIPS-G6L11","4086"
"2022-12-07","PDPOSTIPS-L2","8659"
"2022-12-14","PDPOSTIPS-G11","-567"
"2022-12-14","PDPOSTIPS-G2","8180"
"2022-12-14","PDPOSTIPS-G6L11","2298"
"2022-12-14","PDPOSTIPS-L2","7594"
"2022-12-21","PDPOSTIPS-G11","-627"
"2022-12-21","PDPOSTIPS-G2","8329"
"2022-12-21","PDPOSTIPS-G6L11","1888"
"2022-12-21","PDPOSTIPS-L2","6149"
"2022-12-28","PDPOSTIPS-G11","-600"
"2022-12-28","PDPOSTIPS-G2","9318"
"2022-12-28","PDPOSTIPS-G6L11","1781"
"2022-12-28","PDPOSTIPS-L2","5925"
"2023-01-04","PDPOSTIPS-G11","-326"
"2023-01-04","PDPOSTIPS-G2","10130"
"2023-01-04","PDPOSTIPS-G6L11","1169"
"2023-01-04","PDPOSTIPS-L2","5856"
"2023-01-11","PDPOSTIPS-G11","-265"
"2023-01-11","PDPOSTIPS-G2","9283"
