"As Of Date","Time Series","Value (millions)"
"2015-05-27","PDPOSTIPS-G6L11","1317"
"2015-05-27","PDPOSTIPS-L2","3971"
"2015-06-03","PDPOSTIPS-G11","112"
"2015-06-03","PDPOSTIPS-G2","-3598"
"2015-06-03","PDPOSTIPS-G6L11","777"
"2015-06-03","PDPOSTIPS-L2","4325"
"2015-06-10","PDPOSTIPS-G11","196"
"2015-06-10","PDPOSTIPS-G2","-2683"
"2015-06-10","PDPOSTIPS-G6L11","748"
"2015-06-10","PDPOSTIPS-L2","5352"
"2015-06-17","PDPOSTIPS-G11","272"
"2015-06-17","PDPOSTIPS-G2","-3315"
"2015-06-17","PDPOSTIPS-G6L11","-540"
"2015-06-17","PDPOSTIPS-L2","5829"
"2015-06-24","PDPOSTIPS-G11","965"
"2015-06-24","PDPOSTIPS-G2","-1878"
"2015-06-24","PDPOSTIPS-G6L11","-1425"
"2015-06-24","PDPOSTIPS-L2","4897"
"2015-07-01","PDPOSTIPS-G11","224"
"2015-07-01","PDPOSTIPS-G2","-2227"
"2015-07-01","PDPOSTIPS-G6L11","401"
"2015-07-01","PDPOSTIPS-L2","4634"
"2015-07-08","PDPOSTIPS-G11","490"
"2015-07-08","PDPOSTIPS-G2","-2648"
"2015-07-08","PDPOSTIPS-G6L11","645"
"2015-07-08","PDPOSTIPS-L2","3990"
"2015-07-15","PDPOSTIPS-G11","660"
"2015-07-15","PDPOSTIPS-G2","-1217"
"2015-07-15","PDPOSTIPS-G6L11","-490"
"2015-07-15","PDPOSTIPS-L2","2901"
"2015-07-22","PDPOSTIPS-G11","801"
"2015-07-22","PDPOSTIPS-G2","-1175"
"2015-07-22","PDPOSTIPS-G6L11","-367"
"2015-07-22","PDPOSTIPS-L2","1788"
"2015-07-29","PDPOSTIPS-G11","868"
"2015-07-29","PDPOSTIPS-G2","-1735"
"2015-07-29","PDPOSTIPS-G6L11","1474"
"2015-07-29","PDPOSTIPS-L2","3562"
"2015-08-05","PDPOSTIPS-G11","875"
"2015-08-05","PDPOSTIPS-G2","-2562"
"2015-08-05","PDPOSTIPS-G6L11","-369"
"2015-08-05","PDPOSTIPS-L2","5651"
"2015-08-12","PDPOSTIPS-G11","1025"
"2015-08-12","PDPOSTIPS-G2","-3120"
"2015-08-12","PDPOSTIPS-G6L11","-235"
"2015-08-12","PDPOSTIPS-L2","5960"
"2015-08-19","PDPOSTIPS-G11","920"
"2015-08-19","PDPOSTIPS-G2","-3236"
"2015-08-19","PDPOSTIPS-G6L11","-868"
"2015-08-19","PDPOSTIPS-L2","6050"
"2015-08-26","PDPOSTIPS-G11","304"
"2015-08-26","PDPOSTIPS-G2","-348"
"2015-08-26","PDPOSTIPS-G6L11","-22"
"2015-08-26","PDPOSTIPS-L2","5261"
"2015-09-02","PDPOSTIPS-G11","314"
"2015-09-02","PDPOSTIPS-G2","-1234"
"2015-09-02","PDPOSTIPS-G6L11","1267"
"2015-09-02","PDPOSTIPS-L2","4916"
"2015-09-09","PDPOSTIPS-G11","325"
"2015-09-09","PDPOSTIPS-G2","-176"
"2015-09-09","PDPOSTIPS-G6L11","492"
"2015-09-09","PDPOSTIPS-L2","4481"
"2015-09-16","PDPOSTIPS-G11","574"
"2015-09-16","PDPOSTIPS-G2","-526"
"2015-09-16","PDPOSTIPS-G6L11","42"
"2015-09-16","PDPOSTIPS-L2","4893"
"2015-09-23","PDPOSTIPS-G11","536"
"2015-09-23","PDPOSTIPS-G2","-18"
"2015-09-23","PDPOSTIPS-G6L11","889"
"2015-09-23","PDPOSTIPS-L2","5032"
"2015-09-30","PDPOSTIPS-G11","831"
"2015-09-30","PDPOSTIPS-G2","-271"
"2015-09-30","PDPOSTIPS-G6L11","647"
"2015-09-30","PDPOSTIPS-L2","4848"
"2015-10-07","PDPOSTIPS-G11","982"
"2015-10-07","PDPOSTIPS-G2","-1103"
"2015-10-07","PDPOSTIPS-G6L11","-299"
"2015-10-07","PDPOSTIPS-L2","4305"
"2015-10-14","PDPOSTIPS-G11","991"
"2015-10-14","PDPOSTIPS-G2","44"
"2015-10-14","PDPOSTIPS-G6L11","-1162"
"2015-10-14","PDPOSTIPS-L2","4488"
"2015-10-21","PDPOSTIPS-G11","913"
"2015-10-21","PDPOSTIPS-G2","-578"
"2015-10-21","PDPOSTIPS-G6L11","-893"
"2015-10-21","PDPOSTIPS-L2","6202"
"2015-10-28","PDPOSTIPS-G11","1797"
"2015-10-28","PDPOSTIPS-G2","156"
"2015-10-28","PDPOSTIPS-G6L11","-1682"
"2015-10-28","PDPOSTIPS-L2","6807"
"2015-11-04","PDPOSTIPS-G11","1347"
"2015-11-04","PDPOSTIPS-G2","-1454"
"2015-11-04","PDPOSTIPS-G6L11","-1507"
"2015-11-04","PDPOSTIPS-L2","6470"
"2015-11-11","PDPOSTIPS-G11","1179"
"2015-11-11","PDPOSTIPS-G2","-1411"
"2015-11-11","PDPOSTIPS-G6L11","-1016"
"2015-11-11","PDPOSTIPS-L2","6255"
"2015-11-18","PDPOSTIPS-G11","1116"
"2015-11-18","PDPOSTIPS-G2","-1044"
"2015-11-18","PDPOSTIPS-G6L11","-1321"
"2015-11-18","PDPOSTIPS-L2","6940"
"2015-11-25","PDPOSTIPS-G11","1241"
"2015-11-25","PDPOSTIPS-G2","-1388"
"2015-11-25","PDPOSTIPS-G6L11","94"
"2015-11-25","PDPOSTIPS-L2","6762"
"2015-12-02","PDPOSTIPS-G11","1563"
"2015-12-02","PDPOSTIPS-G2","-1908"
"2015-12-02","PDPOSTIPS-G6L11","-725"
"2015-12-02","PDPOSTIPS-L2","7249"
"2015-12-09","PDPOSTIPS-G11","1633"
"2015-12-09","PDPOSTIPS-G2","1133"
"2015-12-09","PDPOSTIPS-G6L11","-1511"
"2015-12-09","PDPOSTIPS-L2","7883"
"2015-12-16","PDPOSTIPS-G11","1777"
"2015-12-16","PDPOSTIPS-G2","3536"
"2015-12-16","PDPOSTIPS-G6L11","-1593"
"2015-12-16","PDPOSTIPS-L2","5913"
"2015-12-23","PDPOSTIPS-G11","1580"
"2015-12-23","PDPOSTIPS-G2","6112"
"2015-12-23","PDPOSTIPS-G6L11","-1843"
"2015-12-23","PDPOSTIPS-L2","3788"
"2015-12-30","PDPOSTIPS-G11","1505"
"2015-12-30","PDPOSTIPS-G2","5358"
"2015-12-30","PDPOSTIPS-G6L11","-1511"
"2015-12-30","PDPOSTIPS-L2","2458"
"2016-01-06","PDPOSTIPS-G11","1836"
"2016-01-06","PDPOSTIPS-G2","4341"
"2016-01-06","PDPOSTIPS-G6L11","-1802"
"2016-01-06","PDPOSTIPS-L2","3198"
"2016-01-13","PDPOSTIPS-G11","1545"
"2016-01-13","PDPOSTIPS-G2","3648"
"2016-01-13","PDPOSTIPS-G6L11","1015"
"2016-01-13","PDPOSTIPS-L2","2360"
"2016-01-20","PDPOSTIPS-G11","582"
"2016-01-20","PDPOSTIPS-G2","3643"
"2016-01-20","PDPOSTIPS-G6L11","2299"
"2016-01-20","PDPOSTIPS-L2","2248"
"2016-01-27","PDPOSTIPS-G11","175"
"2016-01-27","PDPOSTIPS-G2","3764"
"2016-01-27","PDPOSTIPS-G6L11","4465"
"2016-01-27","PDPOSTIPS-L2","2201"
"2016-02-03","PDPOSTIPS-G11","247"
"2016-02-03","PDPOSTIPS-G2","3709"
"2016-02-03","PDPOSTIPS-G6L11","1826"
"2016-02-03","PDPOSTIPS-L2","4501"
"2016-02-10","PDPOSTIPS-G11","397"
"2016-02-10","PDPOSTIPS-G2","3007"
"2016-02-10","PDPOSTIPS-G6L11","2106"
"2016-02-10","PDPOSTIPS-L2","3704"
"2016-02-17","PDPOSTIPS-G11","604"
"2016-02-17","PDPOSTIPS-G2","4131"
"2016-02-17","PDPOSTIPS-G6L11","-50"
"2016-02-17","PDPOSTIPS-L2","4192"
"2016-02-24","PDPOSTIPS-G11","1240"
"2016-02-24","PDPOSTIPS-G2","2898"
"2016-02-24","PDPOSTIPS-G6L11","-515"
"2016-02-24","PDPOSTIPS-L2","5997"
"2016-03-02","PDPOSTIPS-G11","848"
"2016-03-02","PDPOSTIPS-G2","2091"
"2016-03-02","PDPOSTIPS-G6L11","-77"
"2016-03-02","PDPOSTIPS-L2","6944"
"2016-03-09","PDPOSTIPS-G11","882"
"2016-03-09","PDPOSTIPS-G2","2129"
"2016-03-09","PDPOSTIPS-G6L11","-354"
"2016-03-09","PDPOSTIPS-L2","7917"
"2016-03-16","PDPOSTIPS-G11","661"
"2016-03-16","PDPOSTIPS-G2","2772"
"2016-03-16","PDPOSTIPS-G6L11","-743"
"2016-03-16","PDPOSTIPS-L2","2029"
"2016-03-23","PDPOSTIPS-G11","93"
"2016-03-23","PDPOSTIPS-G2","1832"
"2016-03-23","PDPOSTIPS-G6L11","2727"
"2016-03-23","PDPOSTIPS-L2","936"
"2016-03-30","PDPOSTIPS-G11","92"
"2016-03-30","PDPOSTIPS-G2","251"
"2016-03-30","PDPOSTIPS-G6L11","2789"
"2016-03-30","PDPOSTIPS-L2","1172"
"2016-04-06","PDPOSTIPS-G11","222"
"2016-04-06","PDPOSTIPS-G2","1581"
"2016-04-06","PDPOSTIPS-G6L11","2068"
"2016-04-06","PDPOSTIPS-L2","566"
"2016-04-13","PDPOSTIPS-G11","181"
"2016-04-13","PDPOSTIPS-G2","1065"
"2016-04-13","PDPOSTIPS-G6L11","1454"
"2016-04-13","PDPOSTIPS-L2","2664"
"2016-04-20","PDPOSTIPS-G11","367"
"2016-04-20","PDPOSTIPS-G2","880"
"2016-04-20","PDPOSTIPS-G6L11","1475"
"2016-04-20","PDPOSTIPS-L2","2116"
"2016-04-27","PDPOSTIPS-G11","515"
"2016-04-27","PDPOSTIPS-G2","4789"
"2016-04-27","PDPOSTIPS-G6L11","589"
"2016-04-27","PDPOSTIPS-L2","4207"
"2016-05-04","PDPOSTIPS-G11","0"
"2016-05-04","PDPOSTIPS-G2","1579"
"2016-05-04","PDPOSTIPS-G6L11","-341"
"2016-05-04","PDPOSTIPS-L2","8485"
"2016-05-11","PDPOSTIPS-G11","-17"
"2016-05-11","PDPOSTIPS-G2","-405"
"2016-05-11","PDPOSTIPS-G6L11","1223"
"2016-05-11","PDPOSTIPS-L2","7705"
"2016-05-18","PDPOSTIPS-G11","-54"
"2016-05-18","PDPOSTIPS-G2","971"
"2016-05-18","PDPOSTIPS-G6L11","481"
"2016-05-18","PDPOSTIPS-L2","5928"
"2016-05-25","PDPOSTIPS-G11","305"
"2016-05-25","PDPOSTIPS-G2","-720"
"2016-05-25","PDPOSTIPS-G6L11","2826"
"2016-05-25","PDPOSTIPS-L2","6000"
"2016-06-01","PDPOSTIPS-G11","907"
"2016-06-01","PDPOSTIPS-G2","-685"
"2016-06-01","PDPOSTIPS-G6L11","2043"
"2016-06-01","PDPOSTIPS-L2","6213"
"2016-06-08","PDPOSTIPS-G11","662"
"2016-06-08","PDPOSTIPS-G2","-1344"
"2016-06-08","PDPOSTIPS-G6L11","1933"
"2016-06-08","PDPOSTIPS-L2","5026"
"2016-06-15","PDPOSTIPS-G11","791"
"2016-06-15","PDPOSTIPS-G2","-1573"
"2016-06-15","PDPOSTIPS-G6L11","2270"
"2016-06-15","PDPOSTIPS-L2","6164"
"2016-06-22","PDPOSTIPS-G11","1170"
"2016-06-22","PDPOSTIPS-G2","-707"
"2016-06-22","PDPOSTIPS-G6L11","1349"
"2016-06-22","PDPOSTIPS-L2","4183"
"2016-06-29","PDPOSTIPS-G11","1196"
"2016-06-29","PDPOSTIPS-G2","-1749"
"2016-06-29","PDPOSTIPS-G6L11","1858"
"2016-06-29","PDPOSTIPS-L2","5031"
"2016-07-06","PDPOSTIPS-G11","599"
"2016-07-06","PDPOSTIPS-G2","-1524"
"2016-07-06","PDPOSTIPS-G6L11","2183"
"2016-07-06","PDPOSTIPS-L2","5125"
"2016-07-13","PDPOSTIPS-G11","607"
"2016-07-13","PDPOSTIPS-G2","-1467"
"2016-07-13","PDPOSTIPS-G6L11","2791"
"2016-07-13","PDPOSTIPS-L2","4782"
"2016-07-20","PDPOSTIPS-G11","508"
"2016-07-20","PDPOSTIPS-G2","1662"
"2016-07-20","PDPOSTIPS-G6L11","2090"
"2016-07-20","PDPOSTIPS-L2","3427"
"2016-07-27","PDPOSTIPS-G11","562"
"2016-07-27","PDPOSTIPS-G2","1957"
"2016-07-27","PDPOSTIPS-G6L11","4601"
"2016-07-27","PDPOSTIPS-L2","3062"
"2016-08-03","PDPOSTIPS-G11","63"
"2016-08-03","PDPOSTIPS-G2","1194"
"2016-08-03","PDPOSTIPS-G6L11","3877"
"2016-08-03","PDPOSTIPS-L2","3543"
"2016-08-10","PDPOSTIPS-G11","-223"
"2016-08-10","PDPOSTIPS-G2","2420"
"2016-08-10","PDPOSTIPS-G6L11","2910"
"2016-08-10","PDPOSTIPS-L2","2217"
"2016-08-17","PDPOSTIPS-G11","-71"
"2016-08-17","PDPOSTIPS-G2","3239"
"2016-08-17","PDPOSTIPS-G6L11","1738"
"2016-08-17","PDPOSTIPS-L2","443"
"2016-08-24","PDPOSTIPS-G11","203"
"2016-08-24","PDPOSTIPS-G2","5113"
"2016-08-24","PDPOSTIPS-G6L11","1483"
"2016-08-24","PDPOSTIPS-L2","1130"
"2016-08-31","PDPOSTIPS-G11","267"
"2016-08-31","PDPOSTIPS-G2","4320"
"2016-08-31","PDPOSTIPS-G6L11","1816"
"2016-08-31","PDPOSTIPS-L2","2237"
"2016-09-07","PDPOSTIPS-G11","310"
"2016-09-07","PDPOSTIPS-G2","4045"
"2016-09-07","PDPOSTIPS-G6L11","1632"
"2016-09-07","PDPOSTIPS-L2","890"
"2016-09-14","PDPOSTIPS-G11","261"
"2016-09-14","PDPOSTIPS-G2","3052"
"2016-09-14","PDPOSTIPS-G6L11","2632"
"2016-09-14","PDPOSTIPS-L2","2057"
"2016-09-21","PDPOSTIPS-G11","102"
"2016-09-21","PDPOSTIPS-G2","2520"
"2016-09-21","PDPOSTIPS-G6L11","2236"
"2016-09-21","PDPOSTIPS-L2","996"
"2016-09-28","PDPOSTIPS-G11","633"
"2016-09-28","PDPOSTIPS-G2","1998"
"2016-09-28","PDPOSTIPS-G6L11","3104"
"2016-09-28","PDPOSTIPS-L2","1864"
"2016-10-05","PDPOSTIPS-G11","1296"
"2016-10-05","PDPOSTIPS-G2","2615"
"2016-10-05","PDPOSTIPS-G6L11","1750"
"2016-10-05","PDPOSTIPS-L2","830"
"2016-10-12","PDPOSTIPS-G11","1277"
"2016-10-12","PDPOSTIPS-G2","1267"
"2016-10-12","PDPOSTIPS-G6L11","2232"
"2016-10-12","PDPOSTIPS-L2","2880"
"2016-10-19","PDPOSTIPS-G11","1064"
"2016-10-19","PDPOSTIPS-G2","619"
"2016-10-19","PDPOSTIPS-G6L11","2188"
"2016-10-19","PDPOSTIPS-L2","3593"
"2016-10-26","PDPOSTIPS-G11","1414"
"2016-10-26","PDPOSTIPS-G2","1754"
"2016-10-26","PDPOSTIPS-G6L11","1071"
"2016-10-26","PDPOSTIPS-L2","3955"
"2016-11-02","PDPOSTIPS-G11","948"
"2016-11-02","PDPOSTIPS-G2","2704"
"2016-11-02","PDPOSTIPS-G6L11","1340"
"2016-11-02","PDPOSTIPS-L2","5157"
"2016-11-09","PDPOSTIPS-G11","998"
"2016-11-09","PDPOSTIPS-G2","3342"
"2016-11-09","PDPOSTIPS-G6L11","1003"
"2016-11-09","PDPOSTIPS-L2","5550"
"2016-11-16","PDPOSTIPS-G11","820"
"2016-11-16","PDPOSTIPS-G2","3623"
"2016-11-16","PDPOSTIPS-G6L11","1092"
"2016-11-16","PDPOSTIPS-L2","4891"
"2016-11-23","PDPOSTIPS-G11","498"
"2016-11-23","PDPOSTIPS-G2","2455"
"2016-11-23","PDPOSTIPS-G6L11","2502"
"2016-11-23","PDPOSTIPS-L2","5622"
"2016-11-30","PDPOSTIPS-G11","1069"
"2016-11-30","PDPOSTIPS-G2","3372"
"2016-11-30","PDPOSTIPS-G6L11","1074"
"2016-11-30","PDPOSTIPS-L2","5784"
"2016-12-07","PDPOSTIPS-G11","1038"
"2016-12-07","PDPOSTIPS-G2","3674"
"2016-12-07","PDPOSTIPS-G6L11","1539"
"2016-12-07","PDPOSTIPS-L2","5962"
"2016-12-14","PDPOSTIPS-G11","799"
"2016-12-14","PDPOSTIPS-G2","4794"
"2016-12-14","PDPOSTIPS-G6L11","1472"
"2016-12-14","PDPOSTIPS-L2","4713"
"2016-12-21","PDPOSTIPS-G11","569"
"2016-12-21","PDPOSTIPS-G2","6372"
"2016-12-21","PDPOSTIPS-G6L11","1944"
"2016-12-21","PDPOSTIPS-L2","1990"
"2016-12-28","PDPOSTIPS-G11","572"
"2016-12-28","PDPOSTIPS-G2","6954"
"2016-12-28","PDPOSTIPS-G6L11","1978"
"2016-12-28","PDPOSTIPS-L2","570"
"2017-01-04","PDPOSTIPS-G11","650"
"2017-01-04","PDPOSTIPS-G2","7172"
"2017-01-04","PDPOSTIPS-G6L11","2028"
"2017-01-04","PDPOSTIPS-L2","733"
"2017-01-11","PDPOSTIPS-G11","504"
"2017-01-11","PDPOSTIPS-G2","6190"
"2017-01-11","PDPOSTIPS-G6L11","2674"
"2017-01-11","PDPOSTIPS-L2","86"
"2017-01-18","PDPOSTIPS-G11","84"
"2017-01-18","PDPOSTIPS-G2","6264"
"2017-01-18","PDPOSTIPS-G6L11","2367"
"2017-01-18","PDPOSTIPS-L2","909"
"2017-01-25","PDPOSTIPS-G11","349"
"2017-01-25","PDPOSTIPS-G2","4763"
"2017-01-25","PDPOSTIPS-G6L11","3106"
"2017-01-25","PDPOSTIPS-L2","2534"
"2017-02-01","PDPOSTIPS-G11","440"
"2017-02-01","PDPOSTIPS-G2","1615"
"2017-02-01","PDPOSTIPS-G6L11","1110"
"2017-02-01","PDPOSTIPS-L2","5285"
"2017-02-08","PDPOSTIPS-G11","251"
"2017-02-08","PDPOSTIPS-G2","3592"
"2017-02-08","PDPOSTIPS-G6L11","666"
"2017-02-08","PDPOSTIPS-L2","6361"
"2017-02-15","PDPOSTIPS-G11","-133"
"2017-02-15","PDPOSTIPS-G2","3019"
"2017-02-15","PDPOSTIPS-G6L11","1430"
"2017-02-15","PDPOSTIPS-L2","7305"
"2017-02-22","PDPOSTIPS-G11","1035"
"2017-02-22","PDPOSTIPS-G2","4355"
"2017-02-22","PDPOSTIPS-G6L11","1440"
"2017-02-22","PDPOSTIPS-L2","5448"
"2017-03-01","PDPOSTIPS-G11","444"
"2017-03-01","PDPOSTIPS-G2","3065"
"2017-03-01","PDPOSTIPS-G6L11","1569"
"2017-03-01","PDPOSTIPS-L2","5153"
"2017-03-08","PDPOSTIPS-G11","546"
"2017-03-08","PDPOSTIPS-G2","1674"
"2017-03-08","PDPOSTIPS-G6L11","2266"
"2017-03-08","PDPOSTIPS-L2","5879"
"2017-03-15","PDPOSTIPS-G11","528"
"2017-03-15","PDPOSTIPS-G2","1666"
"2017-03-15","PDPOSTIPS-G6L11","2562"
"2017-03-15","PDPOSTIPS-L2","2854"
"2017-03-22","PDPOSTIPS-G11","656"
"2017-03-22","PDPOSTIPS-G2","847"
"2017-03-22","PDPOSTIPS-G6L11","2355"
"2017-03-22","PDPOSTIPS-L2","2088"
"2017-03-29","PDPOSTIPS-G11","448"
"2017-03-29","PDPOSTIPS-G2","1503"
"2017-03-29","PDPOSTIPS-G6L11","3105"
"2017-03-29","PDPOSTIPS-L2","2309"
"2017-04-05","PDPOSTIPS-G11","425"
"2017-04-05","PDPOSTIPS-G2","2539"
"2017-04-05","PDPOSTIPS-G6L11","3129"
"2017-04-05","PDPOSTIPS-L2","1224"
"2017-04-12","PDPOSTIPS-G11","752"
"2017-04-12","PDPOSTIPS-G2","3464"
"2017-04-12","PDPOSTIPS-G6L11","2689"
"2017-04-12","PDPOSTIPS-L2","1455"
"2017-04-19","PDPOSTIPS-G11","2021"
"2017-04-19","PDPOSTIPS-G2","2123"
"2017-04-19","PDPOSTIPS-G6L11","1482"
"2017-04-19","PDPOSTIPS-L2","1646"
"2017-04-26","PDPOSTIPS-G11","1688"
"2017-04-26","PDPOSTIPS-G2","3576"
"2017-04-26","PDPOSTIPS-G6L11","1972"
"2017-04-26","PDPOSTIPS-L2","345"
"2017-05-03","PDPOSTIPS-G11","1316"
"2017-05-03","PDPOSTIPS-G2","3544"
"2017-05-03","PDPOSTIPS-G6L11","-500"
"2017-05-03","PDPOSTIPS-L2","1994"
"2017-05-10","PDPOSTIPS-G11","1046"
"2017-05-10","PDPOSTIPS-G2","2100"
"2017-05-10","PDPOSTIPS-G6L11","1211"
"2017-05-10","PDPOSTIPS-L2","1590"
"2017-05-17","PDPOSTIPS-G11","1113"
"2017-05-17","PDPOSTIPS-G2","2201"
"2017-05-17","PDPOSTIPS-G6L11","1320"
"2017-05-17","PDPOSTIPS-L2","1216"
"2017-05-24","PDPOSTIPS-G11","1060"
"2017-05-24","PDPOSTIPS-G2","1643"
"2017-05-24","PDPOSTIPS-G6L11","2674"
"2017-05-24","PDPOSTIPS-L2","517"
"2017-05-31","PDPOSTIPS-G11","1228"
"2017-05-31","PDPOSTIPS-G2","647"
"2017-05-31","PDPOSTIPS-G6L11","2009"
"2017-05-31","PDPOSTIPS-L2","1143"
"2017-06-07","PDPOSTIPS-G11","1373"
"2017-06-07","PDPOSTIPS-G2","1802"
"2017-06-07","PDPOSTIPS-G6L11","1541"
"2017-06-07","PDPOSTIPS-L2","2058"
"2017-06-14","PDPOSTIPS-G11","1394"
"2017-06-14","PDPOSTIPS-G2","1439"
"2017-06-14","PDPOSTIPS-G6L11","689"
"2017-06-14","PDPOSTIPS-L2","2195"
"2017-06-21","PDPOSTIPS-G11","1338"
"2017-06-21","PDPOSTIPS-G2","923"
"2017-06-21","PDPOSTIPS-G6L11","1281"
"2017-06-21","PDPOSTIPS-L2","2176"
"2017-06-28","PDPOSTIPS-G11","1990"
"2017-06-28","PDPOSTIPS-G2","295"
"2017-06-28","PDPOSTIPS-G6L11","691"
"2017-06-28","PDPOSTIPS-L2","2193"
"2017-07-05","PDPOSTIPS-G11","1429"
"2017-07-05","PDPOSTIPS-G2","1091"
"2017-07-05","PDPOSTIPS-G6L11","1077"
"2017-07-05","PDPOSTIPS-L2","2110"
"2017-07-12","PDPOSTIPS-G11","1489"
"2017-07-12","PDPOSTIPS-G2","1808"
"2017-07-12","PDPOSTIPS-G6L11","1075"
"2017-07-12","PDPOSTIPS-L2","1530"
"2017-07-19","PDPOSTIPS-G11","1103"
"2017-07-19","PDPOSTIPS-G2","740"
"2017-07-19","PDPOSTIPS-G6L11","2446"
"2017-07-19","PDPOSTIPS-L2","428"
"2017-07-26","PDPOSTIPS-G11","1728"
"2017-07-26","PDPOSTIPS-G2","1482"
"2017-07-26","PDPOSTIPS-G6L11","1711"
"2017-07-26","PDPOSTIPS-L2","974"
"2017-08-02","PDPOSTIPS-G11","1777"
"2017-08-02","PDPOSTIPS-G2","-556"
"2017-08-02","PDPOSTIPS-G6L11","1333"
"2017-08-02","PDPOSTIPS-L2","2697"
"2017-08-09","PDPOSTIPS-G11","1627"
"2017-08-09","PDPOSTIPS-G2","-386"
"2017-08-09","PDPOSTIPS-G6L11","975"
"2017-08-09","PDPOSTIPS-L2","2880"
"2017-08-16","PDPOSTIPS-G11","1812"
"2017-08-16","PDPOSTIPS-G2","202"
"2017-08-16","PDPOSTIPS-G6L11","-310"
"2017-08-16","PDPOSTIPS-L2","2486"
"2017-08-23","PDPOSTIPS-G11","1501"
"2017-08-23","PDPOSTIPS-G2","-12"
"2017-08-23","PDPOSTIPS-G6L11","935"
