"As Of Date","Time Series","Value (millions)"
"2015-01-07","PDPOSTIPS-G11","621"
"2015-01-07","PDPOSTIPS-G2","-1460"
"2015-01-07","PDPOSTIPS-G6L11","223"
"2015-01-07","PDPOSTIPS-L2","559"
"2015-01-14","PDPOSTIPS-G11","-140"
"2015-01-14","PDPOSTIPS-G2","-1137"
"2015-01-14","PDPOSTIPS-G6L11","751"
"2015-01-14","PDPOSTIPS-L2","308"
"2015-01-21","PDPOSTIPS-G11","-46"
"2015-01-21","PDPOSTIPS-G2","-1579"
"2015-01-21","PDPOSTIPS-G6L11","978"
"2015-01-21","PDPOSTIPS-L2","-52"
"2015-01-28","PDPOSTIPS-G11","101"
"2015-01-28","PDPOSTIPS-G2","-2574"
"2015-01-28","PDPOSTIPS-G6L11","3927"
"2015-01-28","PDPOSTIPS-L2","-83"
"2015-02-04","PDPOSTIPS-G11","8"
"2015-02-04","PDPOSTIPS-G2","-1342"
"2015-02-04","PDPOSTIPS-G6L11","1007"
"2015-02-04","PDPOSTIPS-L2","1423"
"2015-02-11","PDPOSTIPS-G11","148"
"2015-02-11","PDPOSTIPS-G2","-1"
"2015-02-11","PDPOSTIPS-G6L11","-445"
"2015-02-11","PDPOSTIPS-L2","1444"
"2015-02-18","PDPOSTIPS-G11","-80"
"2015-02-18","PDPOSTIPS-G2","-316"
"2015-02-18","PDPOSTIPS-G6L11","-658"
"2015-02-18","PDPOSTIPS-L2","1828"
"2015-02-25","PDPOSTIPS-G11","1654"
"2015-02-25","PDPOSTIPS-G2","-1133"
"2015-02-25","PDPOSTIPS-G6L11","-443"
"2015-02-25","PDPOSTIPS-L2","1560"
"2015-03-04","PDPOSTIPS-G11","768"
"2015-03-04","PDPOSTIPS-G2","-643"
"2015-03-04","PDPOSTIPS-G6L11","471"
"2015-03-04","PDPOSTIPS-L2","1626"
"2015-03-11","PDPOSTIPS-G11","847"
"2015-03-11","PDPOSTIPS-G2","-820"
"2015-03-11","PDPOSTIPS-G6L11","367"
"2015-03-11","PDPOSTIPS-L2","2584"
"2015-03-18","PDPOSTIPS-G11","402"
"2015-03-18","PDPOSTIPS-G2","-465"
"2015-03-18","PDPOSTIPS-G6L11","228"
"2015-03-18","PDPOSTIPS-L2","2564"
"2015-03-25","PDPOSTIPS-G11","272"
"2015-03-25","PDPOSTIPS-G2","-802"
"2015-03-25","PDPOSTIPS-G6L11","2820"
"2015-03-25","PDPOSTIPS-L2","2023"
"2015-04-01","PDPOSTIPS-G11","394"
"2015-04-01","PDPOSTIPS-G2","212"
"2015-04-01","PDPOSTIPS-G6L11","1892"
"2015-04-01","PDPOSTIPS-L2","1468"
"2015-04-08","PDPOSTIPS-G11","380"
"2015-04-08","PDPOSTIPS-G2","-311"
"2015-04-08","PDPOSTIPS-G6L11","1954"
"2015-04-08","PDPOSTIPS-L2","2115"
"2015-04-15","PDPOSTIPS-G11","423"
"2015-04-15","PDPOSTIPS-G2","-404"
"2015-04-15","PDPOSTIPS-G6L11","2177"
"2015-04-15","PDPOSTIPS-L2","1328"
"2015-04-22","PDPOSTIPS-G11","351"
"2015-04-22","PDPOSTIPS-G2","-628"
"2015-04-22","PDPOSTIPS-G6L11","1555"
"2015-04-22","PDPOSTIPS-L2","1741"
"2015-04-29","PDPOSTIPS-G11","630"
"2015-04-29","PDPOSTIPS-G2","2798"
"2015-04-29","PDPOSTIPS-G6L11","811"
"2015-04-29","PDPOSTIPS-L2","2742"
"2015-05-06","PDPOSTIPS-G11","24"
"2015-05-06","PDPOSTIPS-G2","-1616"
"2015-05-06","PDPOSTIPS-G6L11","182"
"2015-05-06","PDPOSTIPS-L2","4713"
"2015-05-13","PDPOSTIPS-G11","-163"
"2015-05-13","PDPOSTIPS-G2","-1819"
"2015-05-13","PDPOSTIPS-G6L11","-530"
"2015-05-13","PDPOSTIPS-L2","5317"
"2015-05-20","PDPOSTIPS-G11","-123"
"2015-05-20","PDPOSTIPS-G2","-889"
"2015-05-20","PDPOSTIPS-G6L11","-1284"
"2015-05-20","PDPOSTIPS-L2","4978"
"2015-05-27","PDPOSTIPS-G11","75"
"2015-05-27","PDPOSTIPS-G2","-1029"
