"As Of Date","Time Series","Value (millions)"
"2001-07-04","PDPUSGTIISNOP","2451"
"2001-07-11","PDPUSGTIISNOP","1872"
"2001-07-18","PDPUSGTIISNOP","2179"
"2001-07-25","PDPUSGTIISNOP","2424"
"2001-08-01","PDPUSGTIISNOP","2750"
"2001-08-08","PDPUSGTIISNOP","2806"
"2001-08-15","PDPUSGTIISNOP","3298"
"2001-08-22","PDPUSGTIISNOP","3412"
"2001-08-29","PDPUSGTIISNOP","3339"
"2001-09-05","PDPUSGTIISNOP","3270"
"2001-09-12","PDPUSGTIISNOP","3821"
"2001-09-19","PDPUSGTIISNOP","3719"
"2001-09-26","PDPUSGTIISNOP","4704"
"2001-10-03","PDPUSGTIISNOP","3867"
"2001-10-10","PDPUSGTIISNOP","5290"
"2001-10-17","PDPUSGTIISNOP","4437"
"2001-10-24","PDPUSGTIISNOP","4333"
"2001-10-31","PDPUSGTIISNOP","4392"
"2001-11-07","PDPUSGTIISNOP","5117"
"2001-11-14","PDPUSGTIISNOP","4365"
"2001-11-21","PDPUSGTIISNOP","4152"
"2001-11-28","PDPUSGTIISNOP","4163"
"2001-12-05","PDPUSGTIISNOP","3387"
"2001-12-12","PDPUSGTIISNOP","3258"
"2001-12-19","PDPUSGTIISNOP","2633"
"2001-12-26","PDPUSGTIISNOP","2913"
"2002-01-02","PDPUSGTIISNOP","2328"
"2002-01-09","PDPUSGTIISNOP","3969"
"2002-01-16","PDPUSGTIISNOP","4912"
"2002-01-23","PDPUSGTIISNOP","4760"
"2002-01-30","PDPUSGTIISNOP","4969"
"2002-02-06","PDPUSGTIISNOP","5062"
"2002-02-13","PDPUSGTIISNOP","4991"
"2002-02-20","PDPUSGTIISNOP","4917"
"2002-02-27","PDPUSGTIISNOP","5136"
"2002-03-06","PDPUSGTIISNOP","5025"
"2002-03-13","PDPUSGTIISNOP","5875"
"2002-03-20","PDPUSGTIISNOP","6655"
"2002-03-27","PDPUSGTIISNOP","6260"
"2002-04-03","PDPUSGTIISNOP","5520"
"2002-04-10","PDPUSGTIISNOP","4752"
"2002-04-17","PDPUSGTIISNOP","5274"
"2002-04-24","PDPUSGTIISNOP","6155"
"2002-05-01","PDPUSGTIISNOP","6179"
"2002-05-08","PDPUSGTIISNOP","6149"
"2002-05-15","PDPUSGTIISNOP","5536"
"2002-05-22","PDPUSGTIISNOP","4267"
"2002-05-29","PDPUSGTIISNOP","4228"
"2002-06-05","PDPUSGTIISNOP","4475"
"2002-06-12","PDPUSGTIISNOP","4704"
"2002-06-19","PDPUSGTIISNOP","4883"
"2002-06-26","PDPUSGTIISNOP","4787"
"2002-07-03","PDPUSGTIISNOP","4611"
"2002-07-10","PDPUSGTIISNOP","3902"
"2002-07-17","PDPUSGTIISNOP","2649"
"2002-07-24","PDPUSGTIISNOP","2582"
"2002-07-31","PDPUSGTIISNOP","2812"
"2002-08-07","PDPUSGTIISNOP","1763"
"2002-08-14","PDPUSGTIISNOP","2493"
"2002-08-21","PDPUSGTIISNOP","3207"
"2002-08-28","PDPUSGTIISNOP","3828"
"2002-09-04","PDPUSGTIISNOP","3368"
"2002-09-11","PDPUSGTIISNOP","4113"
"2002-09-18","PDPUSGTIISNOP","4241"
"2002-09-25","PDPUSGTIISNOP","4191"
"2002-10-02","PDPUSGTIISNOP","5286"
"2002-10-09","PDPUSGTIISNOP","6294"
"2002-10-16","PDPUSGTIISNOP","6695"
"2002-10-23","PDPUSGTIISNOP","6915"
"2002-10-30","PDPUSGTIISNOP","5907"
"2002-11-06","PDPUSGTIISNOP","5496"
