"As Of Date","Time Series","Value (millions)"
"2024-07-03","PDPOSTIPS-G11","273"
"2024-07-03","PDPOSTIPS-G2","6816"
"2024-07-03","PDPOSTIPS-G6L11","2868"
"2024-07-03","PDPOSTIPS-L2","12858"
"2024-07-10","PDPOSTIPS-G11","396"
"2024-07-10","PDPOSTIPS-G2","5508"
"2024-07-10","PDPOSTIPS-G6L11","2792"
"2024-07-10","PDPOSTIPS-L2","12523"
"2024-07-17","PDPOSTIPS-G11","326"
"2024-07-17","PDPOSTIPS-G2","4875"
"2024-07-17","PDPOSTIPS-G6L11","3577"
"2024-07-17","PDPOSTIPS-L2","9976"
"2024-07-24","PDPOSTIPS-G11","49"
"2024-07-24","PDPOSTIPS-G2","6597"
"2024-07-24","PDPOSTIPS-G6L11","4435"
"2024-07-24","PDPOSTIPS-L2","8802"
"2024-07-31","PDPOSTIPS-G11","-224"
"2024-07-31","PDPOSTIPS-G2","5197"
"2024-07-31","PDPOSTIPS-G6L11","4042"
"2024-07-31","PDPOSTIPS-L2","12606"
"2024-08-07","PDPOSTIPS-G11","154"
"2024-08-07","PDPOSTIPS-G2","7586"
"2024-08-07","PDPOSTIPS-G6L11","3902"
"2024-08-07","PDPOSTIPS-L2","12322"
"2024-08-14","PDPOSTIPS-G11","107"
"2024-08-14","PDPOSTIPS-G2","6371"
"2024-08-14","PDPOSTIPS-G6L11","4141"
"2024-08-14","PDPOSTIPS-L2","11955"
"2024-08-21","PDPOSTIPS-G11","-208"
"2024-08-21","PDPOSTIPS-G2","6755"
"2024-08-21","PDPOSTIPS-G6L11","5018"
"2024-08-21","PDPOSTIPS-L2","11168"
"2024-08-28","PDPOSTIPS-G11","400"
"2024-08-28","PDPOSTIPS-G2","6178"
"2024-08-28","PDPOSTIPS-G6L11","3973"
"2024-08-28","PDPOSTIPS-L2","11823"
"2024-09-04","PDPOSTIPS-G11","40"
"2024-09-04","PDPOSTIPS-G2","6835"
"2024-09-04","PDPOSTIPS-G6L11","3831"
"2024-09-04","PDPOSTIPS-L2","11280"
"2024-09-11","PDPOSTIPS-G11","-357"
"2024-09-11","PDPOSTIPS-G2","6613"
"2024-09-11","PDPOSTIPS-G6L11","4964"
"2024-09-11","PDPOSTIPS-L2","9431"
"2024-09-18","PDPOSTIPS-G11","-210"
"2024-09-18","PDPOSTIPS-G2","8099"
"2024-09-18","PDPOSTIPS-G6L11","4540"
"2024-09-18","PDPOSTIPS-L2","11244"
"2024-09-25","PDPOSTIPS-G11","-568"
"2024-09-25","PDPOSTIPS-G2","7649"
"2024-09-25","PDPOSTIPS-G6L11","5071"
"2024-09-25","PDPOSTIPS-L2","11405"
"2024-10-02","PDPOSTIPS-G11","-352"
"2024-10-02","PDPOSTIPS-G2","8355"
"2024-10-02","PDPOSTIPS-G6L11","3236"
"2024-10-02","PDPOSTIPS-L2","11399"
"2024-10-09","PDPOSTIPS-G11","-584"
"2024-10-09","PDPOSTIPS-G2","6849"
"2024-10-09","PDPOSTIPS-G6L11","3695"
"2024-10-09","PDPOSTIPS-L2","9845"
"2024-10-16","PDPOSTIPS-G11","-538"
"2024-10-16","PDPOSTIPS-G2","8095"
"2024-10-16","PDPOSTIPS-G6L11","4001"
"2024-10-16","PDPOSTIPS-L2","8978"
"2024-10-23","PDPOSTIPS-G11","-87"
"2024-10-23","PDPOSTIPS-G2","9793"
"2024-10-23","PDPOSTIPS-G6L11","3252"
"2024-10-23","PDPOSTIPS-L2","6061"
"2024-10-30","PDPOSTIPS-G11","-578"
"2024-10-30","PDPOSTIPS-G2","8197"
"2024-10-30","PDPOSTIPS-G6L11","4085"
"2024-10-30","PDPOSTIPS-L2","6144"
"2024-11-06","PDPOSTIPS-G11","37"
"2024-11-06","PDPOSTIPS-G2","8665"
"2024-11-06","PDPOSTIPS-G6L11","2623"
"2024-11-06","PDPOSTIPS-L2","10449"
"2024-11-13","PDPOSTIPS-G11","-181"
"2024-11-13","PDPOSTIPS-G2","10835"
"2024-11-13","PDPOSTIPS-G6L11","2465"
"2024-11-13","PDPOSTIPS-L2","10482"
"2024-11-20","PDPOSTIPS-G11","-164"
"2024-11-20","PDPOSTIPS-G2","7948"
"2024-11-20","PDPOSTIPS-G6L11","3330"
"2024-11-20","PDPOSTIPS-L2","9227"
"2024-11-27","PDPOSTIPS-G11","-75"
"2024-11-27","PDPOSTIPS-G2","6961"
"2024-11-27","PDPOSTIPS-G6L11","4969"
"2024-11-27","PDPOSTIPS-L2","9736"
"2024-12-04","PDPOSTIPS-G11","203"
"2024-12-04","PDPOSTIPS-G2","6798"
"2024-12-04","PDPOSTIPS-G6L11","4368"
"2024-12-04","PDPOSTIPS-L2","8974"
"2024-12-11","PDPOSTIPS-G11","22"
"2024-12-11","PDPOSTIPS-G2","6534"
"2024-12-11","PDPOSTIPS-G6L11","4016"
"2024-12-11","PDPOSTIPS-L2","9976"
"2024-12-18","PDPOSTIPS-G11","224"
"2024-12-18","PDPOSTIPS-G2","6621"
"2024-12-18","PDPOSTIPS-G6L11","3662"
"2024-12-18","PDPOSTIPS-L2","9070"
"2024-12-25","PDPOSTIPS-G11","144"
"2024-12-25","PDPOSTIPS-G2","7495"
"2024-12-25","PDPOSTIPS-G6L11","3177"
"2024-12-25","PDPOSTIPS-L2","9371"
"2025-01-01","PDPOSTIPS-G11","279"
"2025-01-01","PDPOSTIPS-G2","7524"
"2025-01-01","PDPOSTIPS-G6L11","3499"
"2025-01-01","PDPOSTIPS-L2","9492"
"2025-01-08","PDPOSTIPS-G11","391"
"2025-01-08","PDPOSTIPS-G2","9349"
"2025-01-08","PDPOSTIPS-G6L11","3184"
"2025-01-08","PDPOSTIPS-L2","8976"
"2025-01-15","PDPOSTIPS-G11","92"
"2025-01-15","PDPOSTIPS-G2","7932"
"2025-01-15","PDPOSTIPS-G6L11","2849"
"2025-01-15","PDPOSTIPS-L2","8997"
"2025-01-22","PDPOSTIPS-G11","-169"
"2025-01-22","PDPOSTIPS-G2","9368"
"2025-01-22","PDPOSTIPS-G6L11","2866"
"2025-01-22","PDPOSTIPS-L2","9466"
"2025-01-29","PDPOSTIPS-G11","-90"
"2025-01-29","PDPOSTIPS-G2","7933"
"2025-01-29","PDPOSTIPS-G6L11","4137"
"2025-01-29","PDPOSTIPS-L2","8783"
"2025-02-05","PDPOSTIPS-G11","-151"
"2025-02-05","PDPOSTIPS-G2","7458"
"2025-02-05","PDPOSTIPS-G6L11","2234"
"2025-02-05","PDPOSTIPS-L2","14538"
"2025-02-12","PDPOSTIPS-G11","-138"
"2025-02-12","PDPOSTIPS-G2","8806"
"2025-02-12","PDPOSTIPS-G6L11","2144"
"2025-02-12","PDPOSTIPS-L2","15239"
"2025-02-19","PDPOSTIPS-G11","-158"
"2025-02-19","PDPOSTIPS-G2","7566"
"2025-02-19","PDPOSTIPS-G6L11","2540"
"2025-02-19","PDPOSTIPS-L2","14666"
"2025-02-26","PDPOSTIPS-G11","467"
"2025-02-26","PDPOSTIPS-G2","7527"
"2025-02-26","PDPOSTIPS-G6L11","2097"
"2025-02-26","PDPOSTIPS-L2","14864"
"2025-03-05","PDPOSTIPS-G11","82"
"2025-03-05","PDPOSTIPS-G2","7664"
"2025-03-05","PDPOSTIPS-G6L11","1699"
