"As Of Date","Time Series","Value (millions)"
"2025-03-05","PDPOSTIPS-L2","14393"
"2025-03-12","PDPOSTIPS-G11","-164"
"2025-03-12","PDPOSTIPS-G2","8386"
"2025-03-12","PDPOSTIPS-G6L11","2247"
"2025-03-12","PDPOSTIPS-L2","12703"
"2025-03-19","PDPOSTIPS-G11","-151"
"2025-03-19","PDPOSTIPS-G2","6402"
"2025-03-19","PDPOSTIPS-G6L11","3295"
"2025-03-19","PDPOSTIPS-L2","11742"
"2025-03-26","PDPOSTIPS-G11","-270"
"2025-03-26","PDPOSTIPS-G2","5942"
"2025-03-26","PDPOSTIPS-G6L11","4744"
"2025-03-26","PDPOSTIPS-L2","10888"
"2025-04-02","PDPOSTIPS-G11","259"
"2025-04-02","PDPOSTIPS-G2","8561"
"2025-04-02","PDPOSTIPS-G6L11","4426"
"2025-04-02","PDPOSTIPS-L2","11465"
"2025-04-09","PDPOSTIPS-G11","361"
"2025-04-09","PDPOSTIPS-G2","10122"
"2025-04-09","PDPOSTIPS-G6L11","3447"
"2025-04-09","PDPOSTIPS-L2","11348"
"2025-04-16","PDPOSTIPS-G11","279"
"2025-04-16","PDPOSTIPS-G2","7764"
"2025-04-16","PDPOSTIPS-G6L11","3831"
"2025-04-16","PDPOSTIPS-L2","12732"
"2025-04-23","PDPOSTIPS-G11","-130"
"2025-04-23","PDPOSTIPS-G2","10382"
"2025-04-23","PDPOSTIPS-G6L11","3189"
"2025-04-23","PDPOSTIPS-L2","13133"
"2025-04-30","PDPOSTIPS-G11","-874"
"2025-04-30","PDPOSTIPS-G2","6791"
"2025-04-30","PDPOSTIPS-G6L11","4941"
"2025-04-30","PDPOSTIPS-L2","16386"
"2025-05-07","PDPOSTIPS-G11","-931"
"2025-05-07","PDPOSTIPS-G2","6709"
"2025-05-07","PDPOSTIPS-G6L11","4509"
"2025-05-07","PDPOSTIPS-L2","17353"
"2025-05-14","PDPOSTIPS-G11","-582"
"2025-05-14","PDPOSTIPS-G2","5966"
"2025-05-14","PDPOSTIPS-G6L11","4366"
"2025-05-14","PDPOSTIPS-L2","18615"
"2025-05-21","PDPOSTIPS-G11","-538"
"2025-05-21","PDPOSTIPS-G2","6423"
"2025-05-21","PDPOSTIPS-G6L11","4578"
"2025-05-21","PDPOSTIPS-L2","18711"
"2025-05-28","PDPOSTIPS-G11","-335"
"2025-05-28","PDPOSTIPS-G2","6148"
"2025-05-28","PDPOSTIPS-G6L11","5386"
"2025-05-28","PDPOSTIPS-L2","18804"
"2025-06-04","PDPOSTIPS-G11","-346"
"2025-06-04","PDPOSTIPS-G2","6628"
"2025-06-04","PDPOSTIPS-G6L11","4869"
"2025-06-04","PDPOSTIPS-L2","18712"
"2025-06-11","PDPOSTIPS-G11","-830"
"2025-06-11","PDPOSTIPS-G2","6384"
"2025-06-11","PDPOSTIPS-G6L11","4635"
"2025-06-11","PDPOSTIPS-L2","21278"
"2025-06-18","PDPOSTIPS-G11","-570"
"2025-06-18","PDPOSTIPS-G2","6551"
"2025-06-18","PDPOSTIPS-G6L11","3863"
"2025-06-18","PDPOSTIPS-L2","16536"
"2025-06-25","PDPOSTIPS-G11","-350"
"2025-06-25","PDPOSTIPS-G2","6987"
"2025-06-25","PDPOSTIPS-G6L11","3744"
"2025-06-25","PDPOSTIPS-L2","19982"
"2025-07-02","PDPOSTIPS-G11","-125"
"2025-07-02","PDPOSTIPS-G2","8713"
"2025-07-02","PDPOSTIPS-G6L11","2348"
"2025-07-02","PDPOSTIPS-L2","21375"
"2025-07-09","PDPOSTIPS-G11","-28"
"2025-07-09","PDPOSTIPS-G2","8376"
"2025-07-09","PDPOSTIPS-G6L11","1862"
"2025-07-09","PDPOSTIPS-L2","21412"
"2025-07-16","PDPOSTIPS-G11","-156"
"2025-07-16","PDPOSTIPS-G2","5168"
"2025-07-16","PDPOSTIPS-G6L11","1544"
"2025-07-16","PDPOSTIPS-L2","19499"
"2025-07-23","PDPOSTIPS-G11","174"
"2025-07-23","PDPOSTIPS-G2","4693"
"2025-07-23","PDPOSTIPS-G6L11","1341"
"2025-07-23","PDPOSTIPS-L2","19745"
"2025-07-30","PDPOSTIPS-G11","223"
"2025-07-30","PDPOSTIPS-G2","3777"
"2025-07-30","PDPOSTIPS-G6L11","3629"
"2025-07-30","PDPOSTIPS-L2","20905"
"2025-08-06","PDPOSTIPS-G11","300"
"2025-08-06","PDPOSTIPS-G2","3501"
"2025-08-06","PDPOSTIPS-G6L11","3658"
"2025-08-06","PDPOSTIPS-L2","23214"
"2025-08-13","PDPOSTIPS-G11","133"
"2025-08-13","PDPOSTIPS-G2","4430"
"2025-08-13","PDPOSTIPS-G6L11","2655"
"2025-08-13","PDPOSTIPS-L2","24541"
"2025-08-20","PDPOSTIPS-G11","372"
"2025-08-20","PDPOSTIPS-G2","2482"
"2025-08-20","PDPOSTIPS-G6L11","2662"
"2025-08-20","PDPOSTIPS-L2","25006"
"2025-08-27","PDPOSTIPS-G11","783"
"2025-08-27","PDPOSTIPS-G2","1514"
"2025-08-27","PDPOSTIPS-G6L11","2880"
"2025-08-27","PDPOSTIPS-L2","25071"
"2025-09-03","PDPOSTIPS-G11","393"
"2025-09-03","PDPOSTIPS-G2","1815"
"2025-09-03","PDPOSTIPS-G6L11","3239"
"2025-09-03","PDPOSTIPS-L2","25390"
"2025-09-10","PDPOSTIPS-G11","1037"
"2025-09-10","PDPOSTIPS-G2","44"
"2025-09-10","PDPOSTIPS-G6L11","4005"
"2025-09-10","PDPOSTIPS-L2","22901"
"2025-09-17","PDPOSTIPS-G11","749"
"2025-09-17","PDPOSTIPS-G2","705"
"2025-09-17","PDPOSTIPS-G6L11","3785"
"2025-09-17","PDPOSTIPS-L2","18981"
"2025-09-24","PDPOSTIPS-G11","738"
"2025-09-24","PDPOSTIPS-G2","412"
"2025-09-24","PDPOSTIPS-G6L11","5353"
"2025-09-24","PDPOSTIPS-L2","19122"
"2025-10-01","PDPOSTIPS-G11","738"
"2025-10-01","PDPOSTIPS-G2","-104"
"2025-10-01","PDPOSTIPS-G6L11","4879"
"2025-10-01","PDPOSTIPS-L2","18990"
"2025-10-08","PDPOSTIPS-G11","567"
"2025-10-08","PDPOSTIPS-G2","-419"
"2025-10-08","PDPOSTIPS-G6L11","5329"
"2025-10-08","PDPOSTIPS-L2","20240"
"2025-10-15","PDPOSTIPS-G11","609"
"2025-10-15","PDPOSTIPS-G2","-443"
"2025-10-15","PDPOSTIPS-G6L11","5458"
"2025-10-15","PDPOSTIPS-L2","20770"
"2025-10-22","PDPOSTIPS-G11","807"
"2025-10-22","PDPOSTIPS-G2","1139"
"2025-10-22","PDPOSTIPS-G6L11","4095"
"2025-10-22","PDPOSTIPS-L2","19498"
"2025-10-29","PDPOSTIPS-G11","561"
"2025-10-29","PDPOSTIPS-G2","2791"
"2025-10-29","PDPOSTIPS-G6L11","3161"
"2025-10-29","PDPOSTIPS-L2","20030"
"2025-11-05","PDPOSTIPS-G11","414"
"2025-11-05","PDPOSTIPS-G2","-1377"
"2025-11-05","PDPOSTIPS-G6L11","4869"
"2025-11-05","PDPOSTIPS-L2","22642"
"2025-11-12","PDPOSTIPS-G11","398"
"2025-11-12","PDPOSTIPS-G2","-1297"
"2025-11-12","PDPOSTIPS-G6L11","5000"
"2025-11-12","PDPOSTIPS-L2","22475"
"2025-11-19","PDPOSTIPS-G11","298"
"2025-11-19","PDPOSTIPS-G2","-572"
"2025-11-19","PDPOSTIPS-G6L11","4367"
"2025-11-19","PDPOSTIPS-L2","22180"
"2025-11-26","PDPOSTIPS-G11","335"
"2025-11-26","PDPOSTIPS-G2","348"
"2025-11-26","PDPOSTIPS-G6L11","4617"
"2025-11-26","PDPOSTIPS-L2","22993"
"2025-12-03","PDPOSTIPS-G11","413"
"2025-12-03","PDPOSTIPS-G2","2694"
"2025-12-03","PDPOSTIPS-G6L11","3559"
"2025-12-03","PDPOSTIPS-L2","23073"
"2025-12-10","PDPOSTIPS-G11","795"
"2025-12-10","PDPOSTIPS-G2","3121"
"2025-12-10","PDPOSTIPS-G6L11","3703"
"2025-12-10","PDPOSTIPS-L2","23554"
"2025-12-17","PDPOSTIPS-G11","959"
"2025-12-17","PDPOSTIPS-G2","2986"
"2025-12-17","PDPOSTIPS-G6L11","3084"
"2025-12-17","PDPOSTIPS-L2","22289"
"2025-12-24","PDPOSTIPS-G11","702"
"2025-12-24","PDPOSTIPS-G2","4846"
"2025-12-24","PDPOSTIPS-G6L11","2818"
"2025-12-24","PDPOSTIPS-L2","16047"
"2025-12-31","PDPOSTIPS-G11","816"
"2025-12-31","PDPOSTIPS-G2","3666"
"2025-12-31","PDPOSTIPS-G6L11","3015"
"2025-12-31","PDPOSTIPS-L2","18789"
"2026-01-07","PDPOSTIPS-G11","960"
"2026-01-07","PDPOSTIPS-G2","3479"
"2026-01-07","PDPOSTIPS-G6L11","3224"
"2026-01-07","PDPOSTIPS-L2","19147"
"2026-01-14","PDPOSTIPS-G11","817"
"2026-01-14","PDPOSTIPS-G2","2517"
"2026-01-14","PDPOSTIPS-G6L11","3118"
"2026-01-14","PDPOSTIPS-L2","21998"
"2026-01-21","PDPOSTIPS-G11","1060"
"2026-01-21","PDPOSTIPS-G2","3736"
"2026-01-21","PDPOSTIPS-G6L11","1898"
"2026-01-21","PDPOSTIPS-L2","23945"
"2026-01-28","PDPOSTIPS-G11","1635"
"2026-01-28","PDPOSTIPS-G2","2473"
"2026-01-28","PDPOSTIPS-G6L11","3581"
"2026-01-28","PDPOSTIPS-L2","23514"
"2026-02-04","PDPOSTIPS-G11","838"
"2026-02-04","PDPOSTIPS-G2","2041"
"2026-02-04","PDPOSTIPS-G6L11","2726"
"2026-02-04","PDPOSTIPS-L2","25099"
"2026-02-11","PDPOSTIPS-G11","1011"
"2026-02-11","PDPOSTIPS-G2","5263"
"2026-02-11","PDPOSTIPS-G6L11","1469"
"2026-02-11","PDPOSTIPS-L2","24861"
"2026-02-18","PDPOSTIPS-G11","1381"
"2026-02-18","PDPOSTIPS-G2","3022"
"2026-02-18","PDPOSTIPS-G6L11","1382"
"2026-02-18","PDPOSTIPS-L2","23399"
"2026-02-25","PDPOSTIPS-G11","1911"
"2026-02-25","PDPOSTIPS-G2","3247"
"2026-02-25","PDPOSTIPS-G6L11","1458"
"2026-02-25","PDPOSTIPS-L2","23924"
"2026-03-04","PDPOSTIPS-G11","1966"
"2026-03-04","PDPOSTIPS-G2","3090"
"2026-03-04","PDPOSTIPS-G6L11","1943"
"2026-03-04","PDPOSTIPS-L2","24924"
"2026-03-11","PDPOSTIPS-G11","1919"
"2026-03-11","PDPOSTIPS-G2","2816"
"2026-03-11","PDPOSTIPS-G6L11","265"
"2026-03-11","PDPOSTIPS-L2","24583"
"2026-03-18","PDPOSTIPS-G11","1583"
"2026-03-18","PDPOSTIPS-G2","4748"
"2026-03-18","PDPOSTIPS-G6L11","1211"
"2026-03-18","PDPOSTIPS-L2","23689"
"2026-03-25","PDPOSTIPS-G11","1190"
"2026-03-25","PDPOSTIPS-G2","5747"
"2026-03-25","PDPOSTIPS-G6L11","3177"
"2026-03-25","PDPOSTIPS-L2","23124"
"2026-04-01","PDPOSTIPS-G11","796"
"2026-04-01","PDPOSTIPS-G2","6905"
"2026-04-01","PDPOSTIPS-G6L11","3312"
"2026-04-01","PDPOSTIPS-L2","23619"
"2026-04-08","PDPOSTIPS-G11","815"
"2026-04-08","PDPOSTIPS-G2","6881"
"2026-04-08","PDPOSTIPS-G6L11","3267"
"2026-04-08","PDPOSTIPS-L2","23847"
"2026-04-15","PDPOSTIPS-G11","726"
"2026-04-15","PDPOSTIPS-G2","6286"
"2026-04-15","PDPOSTIPS-G6L11","1758"
"2026-04-15","PDPOSTIPS-L2","22874"
"2026-04-22","PDPOSTIPS-G11","893"
"2026-04-22","PDPOSTIPS-G2","4611"
"2026-04-22","PDPOSTIPS-G6L11","1680"
"2026-04-22","PDPOSTIPS-L2","23760"
"2026-04-29","PDPOSTIPS-G11","1550"
"2026-04-29","PDPOSTIPS-G2","4777"
"2026-04-29","PDPOSTIPS-G6L11","1731"
"2026-04-29","PDPOSTIPS-L2","24380"
"2026-05-06","PDPOSTIPS-G11","901"
"2026-05-06","PDPOSTIPS-G2","4800"
"2026-05-06","PDPOSTIPS-G6L11","1134"
"2026-05-06","PDPOSTIPS-L2","27024"
"2026-05-13","PDPOSTIPS-G11","1189"
"2026-05-13","PDPOSTIPS-G2","4623"
"2026-05-13","PDPOSTIPS-G6L11","1227"
"2026-05-13","PDPOSTIPS-L2","24373"
"2026-05-20","PDPOSTIPS-G11","889"
"2026-05-20","PDPOSTIPS-G2","5238"
"2026-05-20","PDPOSTIPS-G6L11","1790"
"2026-05-20","PDPOSTIPS-L2","24354"
"2026-05-27","PDPOSTIPS-G11","1051"
"2026-05-27","PDPOSTIPS-G2","3472"
"2026-05-27","PDPOSTIPS-G6L11","4020"
"2026-05-27","PDPOSTIPS-L2","23515"
"2026-06-03","PDPOSTIPS-G11","789"
"2026-06-03","PDPOSTIPS-G2","5998"
"2026-06-03","PDPOSTIPS-G6L11","3328"
"2026-06-03","PDPOSTIPS-L2","21259"
"2026-06-10","PDPOSTIPS-G11","968"
"2026-06-10","PDPOSTIPS-G2","5537"
"2026-06-10","PDPOSTIPS-G6L11","3069"
"2026-06-10","PDPOSTIPS-L2","21956"
"2026-06-17","PDPOSTIPS-G11","1133"
"2026-06-17","PDPOSTIPS-G2","5802"
"2026-06-17","PDPOSTIPS-G6L11","3007"
"2026-06-17","PDPOSTIPS-L2","23511"
"2026-06-24","PDPOSTIPS-G11","1245"
"2026-06-24","PDPOSTIPS-G2","5260"
"2026-06-24","PDPOSTIPS-G6L11","3013"
"2026-06-24","PDPOSTIPS-L2","22744"
