observation_date,JPNEPUINDXM
2010-07-01,167.88719
2010-08-01,135.99439
2010-09-01,196.04946
2010-10-01,121.58120
2010-11-01,112.73426
2010-12-01,94.75452
2011-01-01,98.43604
2011-02-01,109.21912
2011-03-01,75.14036
2011-04-01,109.18411
2011-05-01,115.41986
2011-06-01,110.03753
2011-07-01,135.62008
2011-08-01,162.58487
2011-09-01,100.35067
2011-10-01,151.37133
2011-11-01,166.87187
2011-12-01,186.47622
2012-01-01,142.74244
2012-02-01,131.43160
2012-03-01,92.52136
2012-04-01,135.96266
2012-05-01,123.20631
2012-06-01,126.78257
2012-07-01,120.43373
2012-08-01,112.67921
2012-09-01,108.94508
2012-10-01,125.27930
2012-11-01,188.29182
2012-12-01,151.48223
2013-01-01,101.26132
2013-02-01,123.49769
2013-03-01,88.96143
2013-04-01,69.90321
2013-05-01,93.02014
2013-06-01,111.34775
2013-07-01,145.88191
2013-08-01,77.58928
2013-09-01,103.82896
2013-10-01,102.51415
2013-11-01,79.57029
2013-12-01,90.68486
2014-01-01,89.67860
2014-02-01,136.57599
2014-03-01,86.77592
2014-04-01,97.08010
2014-05-01,53.24005
2014-06-01,44.84903
2014-07-01,60.28621
2014-08-01,53.92787
2014-09-01,85.53364
2014-10-01,122.72887
2014-11-01,129.28373
2014-12-01,188.92578
2015-01-01,88.68136
2015-02-01,74.16131
2015-03-01,51.36084
2015-04-01,74.15577
2015-05-01,74.47832
2015-06-01,64.03931
2015-07-01,53.41797
2015-08-01,89.90433
2015-09-01,116.58238
2015-10-01,115.87421
2015-11-01,107.81766
2015-12-01,132.65289
2016-01-01,156.82974
2016-02-01,148.68832
2016-03-01,108.03311
2016-04-01,110.08359
